# Saint-Gobain IPv4 prefixes
192.109.140.0/24,FR,FR-IDF,Paris
192.109.141.0/24,FR,FR-IDF,Paris
# Saint-Gobain IPv6 prefixes
2a07:8140::/36,FR,FR-IDF,Paris
